GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
NLD.1.1_1,NLD,Netherlands,NLD.1_1,Drenthe,NA,AaenHunze,NA,NA,Gemeente,Municipality,NA,NL.DR.AH
NLD.1.2_1,NLD,Netherlands,NLD.1_1,Drenthe,NA,Assen,NA,NA,Gemeente,Municipality,NA,NL.DR.AS
NLD.1.3_1,NLD,Netherlands,NLD.1_1,Drenthe,NA,Borger-Odoorn,NA,NA,Gemeente,Municipality,NA,NL.DR.BO
NLD.1.4_1,NLD,Netherlands,NLD.1_1,Drenthe,NA,Coevorden,NA,NA,Gemeente,Municipality,NA,NL.DR.CO
NLD.1.5_1,NLD,Netherlands,NLD.1_1,Drenthe,NA,DeWolden,NA,NA,Gemeente,Municipality,NA,NL.DR.DW
NLD.1.6_1,NLD,Netherlands,NLD.1_1,Drenthe,NA,Emmen,NA,NA,Gemeente,Municipality,NA,NL.DR.EM
NLD.1.7_1,NLD,Netherlands,NLD.1_1,Drenthe,NA,Hoogeveen,NA,NA,Gemeente,Municipality,NA,NL.DR.HO
NLD.1.8_1,NLD,Netherlands,NLD.1_1,Drenthe,NA,Meppel,NA,NA,Gemeente,Municipality,NA,NL.DR.ME
NLD.1.9_1,NLD,Netherlands,NLD.1_1,Drenthe,NA,Midden-Drenthe,Middenveld,NA,Gemeente,Municipality,NA,NL.DR.MD
NLD.1.10_1,NLD,Netherlands,NLD.1_1,Drenthe,NA,Noordenveld,NA,NA,Gemeente,Municipality,NA,NL.DR.NO
NLD.1.11_1,NLD,Netherlands,NLD.1_1,Drenthe,NA,Tynaarlo,Zuidlaren,NA,Gemeente,Municipality,NA,NL.DR.TY
NLD.1.12_1,NLD,Netherlands,NLD.1_1,Drenthe,NA,Westerveld,NA,NA,Gemeente,Municipality,NA,NL.DR.WE
NLD.2.1_1,NLD,Netherlands,NLD.2_1,Flevoland,NA,Almere,NA,NA,Gemeente,Municipality,NA,NL.FL.AL
NLD.2.2_1,NLD,Netherlands,NLD.2_1,Flevoland,NA,Dronten,NA,NA,Gemeente,Municipality,NA,NL.FL.DR
NLD.2.3_1,NLD,Netherlands,NLD.2_1,Flevoland,NA,Lelystad,NA,NA,Gemeente,Municipality,NA,NL.FL.LE
NLD.2.4_1,NLD,Netherlands,NLD.2_1,Flevoland,NA,Noordoostpolder,NA,NA,Gemeente,Municipality,NA,NL.FL.NO
NLD.2.5_1,NLD,Netherlands,NLD.2_1,Flevoland,NA,Urk,NA,NA,Gemeente,Municipality,NA,NL.FL.UR
NLD.2.6_1,NLD,Netherlands,NLD.2_1,Flevoland,NA,Zeewolde,NA,NA,Gemeente,Municipality,NA,NL.FL.ZE
NLD.3.1_1,NLD,Netherlands,NLD.3_1,Fryslân,NA,Achtkarspelen,NA,NA,Gemeente,Municipality,NA,NL.FR.AC
NLD.3.2_1,NLD,Netherlands,NLD.3_1,Fryslân,NA,Ameland,NA,NA,Gemeente,Municipality,NA,NL.FR.AM
NLD.3.5_1,NLD,Netherlands,NLD.3_1,Fryslân,NA,Dantumadeel,Dantumadiel,NA,Gemeente,Municipality,NA,NL.FR.DA
NLD.3.32_1,NLD,Netherlands,NLD.3_1,Fryslân,NA,DeFryskeMarren,DeFrieseMeren,NA,Gemeente,Municipality,NA,NA
NLD.3.10_1,NLD,Netherlands,NLD.3_1,Fryslân,NA,Harlingen,Harns,NA,Gemeente,Municipality,NA,NL.FR.HA
NLD.3.11_2,NLD,Netherlands,NLD.3_1,Fryslân,NA,Heerenveen,ItHearrenfean,NA,Gemeente,Municipality,NA,NL.FR.HE
NLD.3.14_2,NLD,Netherlands,NLD.3_1,Fryslân,NA,Leeuwarden,Ljouwert,NA,Gemeente,Municipality,NA,NA
NLD.3.33_1,NLD,Netherlands,NLD.3_1,Fryslân,NA,Noardeast-Fryslân,Noordoost-Friesland,NA,Gemeente,Municipality,NA,NA
